country,title,release_year,duration,minutes
Egypt,May You Prosper,2017,93 min,93
United States,Krystal,2017,93 min,93
United States,Summer Night,2019,93 min,93
Egypt,Savage Raghda,2018,93 min,93
United States,Hot Bot,2016,93 min,93
Germany,3 Türken & ein Baby,2015,93 min,93
United States,Russell Madness,2015,93 min,93
India,Grand Masti,2013,93 min,93
Egypt,From Japan to Egypt,2017,93 min,93
United States,Search Party,2014,93 min,93
United States,21 & Over,2013,93 min,93
Canada,Pup Star: Better 2Gether,2017,93 min,93
Nigeria,Hakkunde,2017,93 min,93
United States,The Knight Before Christmas,2019,93 min,93
United States,Let It Snow,2019,93 min,93
India,Watchman,2019,93 min,93
Spain,A Remarkable Tale,2019,94 min,94
United States,The Outcasts,2017,94 min,94
United States,Walk of Shame,2014,94 min,94
Nigeria,Flower Girl,2013,94 min,94
Indonesia,Bridezilla,2019,94 min,94
United States,Band Aid,2017,94 min,94
United States,Ibiza,2018,94 min,94
United States,Dean,2016,94 min,94
United States,Home,2015,94 min,94
Egypt,Alarmoty in the Land of Fire,2017,94 min,94
United States,Movie 43,2013,94 min,94
Nigeria,The Lost Okoroshi,2019,94 min,94
United States,Total Frat Movie,2016,94 min,94
United States,Swiped,2018,94 min,94
Egypt,El-Khawaga's Dilemma,2018,94 min,94
Egypt,Farce,2017,94 min,94
Turkey,A Chaster Marriage,2016,94 min,94
Canada,Sadie's Last Days on Earth,2016,94 min,94
Nigeria,Taxi Driver,2015,94 min,94
Germany,Schubert In Love,2016,94 min,94
United States,The Polka King,2018,94 min,94
United States,The Tiger Hunter,2016,94 min,94
Canada,Undercover Grandpa,2016,94 min,94
United States,Trash Fire,2016,94 min,94
United States,Work It,2020,94 min,94
United States,Lady Bird,2017,94 min,94
India,Hope Aur Hum,2018,95 min,95
United States,Cloudy with a Chance of Meatballs 2,2013,95 min,95
United States,Bring It On: Worldwide Showdown,2017,95 min,95
Nigeria,The Millions,2019,95 min,95
Turkey,"Love, Surreal and Odd",2017,95 min,95
United States,Bigger Fatter Liar,2017,95 min,95
United States,Sister Code,2015,95 min,95
United States,Little Evil,2017,95 min,95
United States,The Package,2018,95 min,95
United States,Father of the Year,2018,95 min,95
Egypt,Used Goods,2018,95 min,95
United States,The Late Bloomer,2016,95 min,95
Spain,Holy Goalie,2017,95 min,95
United States,Friendsgiving,2020,95 min,95
United States,Band of Robbers,2015,95 min,95
Turkey,Hadi İnşallah,2014,95 min,95
United States,Mascots,2016,95 min,95
Indonesia,My Stupid Boss 2,2019,95 min,95
India,Yeh Hai Bakrapur,2014,95 min,95
Turkey,Stunt School,2019,95 min,95
Nigeria,Lionheart,2018,95 min,95
United States,MR. RIGHT,2015,96 min,96
United States,Catfight,2016,96 min,96
United States,American Pie 9: Girls' Rules,2020,96 min,96
United States,The Laundromat,2019,96 min,96
