country,title,release_year,duration,minutes
India,Kis Kisko Pyaar Karoon,2015,132 min,132
United States,The Prom,2020,132 min,132
India,Story of an Egg,2017,132 min,132
India,Katti Batti,2015,132 min,132
India,Theeya Velai Seyyanum Kumaru,2013,132 min,132
India,Sillu Karuppatti,2019,133 min,133
India,Kaake Da Viyah,2019,133 min,133
India,Ee Nagaraniki Emaindi,2018,133 min,133
India,Roohi,2021,133 min,133
India,Teshan,2016,133 min,133
India,Thug Life,2017,133 min,133
India,Love Per Square Foot,2018,133 min,133
United States,The Ballad of Buster Scruggs,2018,133 min,133
Turkey,Pek Yakında,2014,134 min,134
India,Bangistan,2015,134 min,134
India,Evvarikee Cheppoddu,2019,134 min,134
India,One by Two,2014,135 min,135
India,Marriage Palace,2018,135 min,135
India,Chennai Express,2013,135 min,135
India,The Zoya Factor,2019,135 min,135
India,Hasee Toh Phasee,2014,135 min,135
India,Fukrey,2013,135 min,135
India,Pyaar Ka Punchnama 2,2015,136 min,136
India,Manje Bistre,2017,136 min,136
India,The Man Who Feels No Pain,2018,137 min,137
India,Uma Maheswara Ugra Roopasya,2020,137 min,137
India,Andhadhun,2018,137 min,137
India,Judge Singh LLB,2015,137 min,137
India,Kapoor & Sons,2016,138 min,138
India,Poshter Girl,2016,138 min,138
India,Bheeshma,2020,138 min,138
India,PhotoCopy,2016,138 min,138
India,Queen,2014,138 min,138
India,Mundeyan Ton Bachke Rahin,2014,139 min,139
India,Thottappan,2019,139 min,139
India,Boss,2013,139 min,139
India,Sardar Ka Grandson,2021,140 min,140
Canada,Sardaar ji,2015,140 min,140
India,Himmatwala,2013,140 min,140
India,Hunterrr,2015,140 min,140
India,What the Jatt!!,2015,140 min,140
India,Mandela,2021,140 min,140
India,Sur Sapata,2019,140 min,140
India,Jatt James Bond,2014,142 min,142
India,Care of Kancharapalem,2018,142 min,142
India,Jab Harry Met Sejal,2017,142 min,142
India,Magnificent,2015,143 min,143
India,2 States,2014,143 min,143
India,Varane Avashyamund,2020,144 min,144
India,Gori Tere Pyaar Mein,2013,144 min,144
India,Judwaa 2,2017,145 min,145
India,Toilet: Ek Prem Katha,2017,145 min,145
Nigeria,Gold Statue,2019,145 min,145
India,Dedh Ishqiya,2014,146 min,146
India,PK,2014,146 min,146
India,Lechmi,2017,147 min,147
India,Yamla Pagla Deewana 2,2013,147 min,147
Nigeria,Omo Ghetto: the Saga,2020,147 min,147
India,Dear Zindagi,2016,149 min,149
India,Aadu 2,2017,150 min,150
India,Ludo,2020,150 min,150
India,Aelay,2021,151 min,151
India,Manmadhudu 2,2019,152 min,152
India,Mubarakan,2017,153 min,153
India,Jagga Jasoos,2017,155 min,155
India,Oh! Baby,2019,157 min,157
India,Kannum Kannum Kollaiyadithaal,2020,160 min,160
India,Ala Vaikunthapurramuloo,2020,162 min,162
India,Love Ni Bhavai,2017,163 min,163
India,Petta,2019,170 min,170
India,Dil Dhadakne Do,2015,174 min,174
India,Super Deluxe,2019,176 min,176
India,Happy New Year,2014,179 min,179
United States,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,190 min,190
